"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2004-02-01,"Consumer Price Index","Commodity",0.977722,1194990027.2111,-0.000104
2004-02-01,"Consumer Price Index","Drones",0.913162,2324553938.1626,-0.000794
2004-02-01,"Consumer Price Index","Implants",0.723256,28830862576.7027,-0.031416
2004-02-01,"Consumer Price Index","Skills",0.896832,41867159175.3265,-0.017007
2004-02-01,"Consumer Price Index","Starbase structures",0.996315,4627021717.3972,-0.000067
2004-02-01,"Consumer Price Index","Tech I modules",0.853498,26671212846.0081,-0.015385
2004-02-01,"Consumer Price Index","Tech I ships",0.928711,137263664297.99,-0.038529
2004-02-01,"Consumer Price Index","Tech II modules",0.856717,3229063261.3071,-0.001821
2004-02-01,"Mineral Price Index","High-End Minerals",0.801503,125299864148.77,-0.104574
2004-02-01,"Mineral Price Index","Low-End Minerals",1.01,112537635768.252,0.004731
2004-02-01,"Primary Producer Price Index","Commodity",0.691587,811617235.616,-0.014804
2004-02-01,"Primary Producer Price Index","Ore",0.977456,11965333039.9769,-0.015954
2004-02-01,"Primary Producer Price Index","Planetary Processed Materials",1.005237,845586940.0533,0.000261
2004-02-01,"Primary Producer Price Index","Planetary Refined Commodities",0.922131,2724405748.2426,-0.012547
2004-02-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.079308,560599761.3018,0.002629
2004-02-01,"Secondary Producer Price Index","Blueprints",1.003914,55616110998.2714,0.002301
2004-02-01,"Secondary Producer Price Index","Commodity",0.99283,29989634591.5386,-0.002273
2004-02-01,"Secondary Producer Price Index","Planetary Commodities",0.990691,644058604.042,-0.000063
2004-02-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.010734,3668142521.7879,0.000416
2004-02-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.958168,1284774960.8288,-0.000568
2004-02-01,"Secondary Producer Price Index","Tech II construction components",1.432444,3372949113.4562,0.015422
2004-03-01,"Consumer Price Index","Ammo",0.906207,10799063454.0483,-0.002982
2004-03-01,"Consumer Price Index","Commodity",0.99612,1392823739.5259,-0.000015
2004-03-01,"Consumer Price Index","Drones",0.930775,2812705773.8356,-0.000573
2004-03-01,"Consumer Price Index","Implants",0.969506,42895780379.9282,-0.003852
2004-03-01,"Consumer Price Index","Skills",0.998275,52747704551.1708,-0.000267
2004-03-01,"Consumer Price Index","Starbase structures",0.918458,4202001977.5383,-0.001009
2004-03-01,"Consumer Price Index","Tech I modules",0.896375,32073030346.5685,-0.009787
