"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2006-05-01,"Secondary Producer Price Index","Blueprints",0.99869,802020443750.614,-0.000118
2006-05-01,"Secondary Producer Price Index","Capital Ship Components",1.013099,20852777092.0608,0.00003
2006-05-01,"Secondary Producer Price Index","Commodity",0.99438,5780270739318.02,-0.003663
2006-05-01,"Secondary Producer Price Index","Planetary Commodities",0.997997,37410160937.7731,-0.000008
2006-05-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.001419,1242028476731.96,0.000198
2006-05-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.00169,687547126520.861,0.000131
2006-05-01,"Secondary Producer Price Index","Station components",1.000933,202845069905.118,0.000021
2006-05-01,"Secondary Producer Price Index","Tech II construction components",0.973437,93101125365.9407,-0.000278
2006-06-01,"Consumer Price Index","Ammo",0.93446,259074915065.776,-0.001322
2006-06-01,"Consumer Price Index","Commodity",0.997641,1258790141777.75,-0.000231
2006-06-01,"Consumer Price Index","Drones",1.008524,100459163781.34,0.000066
2006-06-01,"Consumer Price Index","Faction Ships",1.005478,1351068924.9813,0
2006-06-01,"Consumer Price Index","Ice Products",0.959361,260966549060.088,-0.000826
2006-06-01,"Consumer Price Index","Implants",0.927546,1341128584582.18,-0.007569
2006-06-01,"Consumer Price Index","Insignias",0.995479,106598501114.721,-0.000037
2006-06-01,"Consumer Price Index","Skills",0.998436,1305250909943.74,-0.000159
2006-06-01,"Consumer Price Index","Starbase structures",1.011474,421446809737.714,0.000376
2006-06-01,"Consumer Price Index","Tech I modules",0.981331,1829720172310.57,-0.002661
2006-06-01,"Consumer Price Index","Tech I ships",0.992142,2769587316700.6,-0.001695
2006-06-01,"Consumer Price Index","Tech II modules",1.020891,1847450901565.08,0.003006
2006-06-01,"Consumer Price Index","Tech II ships",0.963131,1335002271232.9,-0.003834
2006-06-01,"Mineral Price Index","High-End Minerals",0.983184,1891920320098.07,-0.009397
2006-06-01,"Mineral Price Index","Low-End Minerals",0.984156,1493369938387.96,-0.006989
2006-06-01,"Primary Producer Price Index","Advanced Moon Materials",0.959196,266636145069.033,-0.004346
2006-06-01,"Primary Producer Price Index","Alloys & Compounds",0.975669,17092527546.6368,-0.000166
2006-06-01,"Primary Producer Price Index","Commodity",0.960174,4457435393.1489,-0.00007
2006-06-01,"Primary Producer Price Index","Decryptors",0.74849,226104216.0826,-0.000022
2006-06-01,"Primary Producer Price Index","Ice",0.959725,92730097201.9581,-0.001492
2006-06-01,"Primary Producer Price Index","Ore",0.997871,111426990856.855,-0.000094
2006-06-01,"Primary Producer Price Index","Planetary Processed Materials",1.019487,182380071881.66,0.001419
2006-06-01,"Primary Producer Price Index","Planetary Refined Commodities",1.000195,1100413353904.56,0.000085
2006-06-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.00149,626299740950.114,0.000372
2006-06-01,"Primary Producer Price Index","Processed Moon Materials",0.983025,29936406443.1714,-0.000203
2006-06-01,"Primary Producer Price Index","Raw Moon Materials",1.01089,69766679155.9868,0.000303
2006-06-01,"Primary Producer Price Index","Reactions",0.983916,1724094734.2104,-0.000011
2006-06-01,"Secondary Producer Price Index","Blueprints",0.999876,857431028864.015,-0.00001
2006-06-01,"Secondary Producer Price Index","Capital Ship Components",0.983557,17226745224.7676,-0.000027
2006-06-01,"Secondary Producer Price Index","Commodity",0.998399,7065730168922.26,-0.001083
2006-06-01,"Secondary Producer Price Index","Planetary Commodities",1.060084,42307790620.0686,0.000243
2006-06-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.004435,1415845255392.89,0.000601
2006-06-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.994275,748998412728.677,-0.00041
2006-06-01,"Secondary Producer Price Index","Station components",0.998874,200317511041.637,-0.000021
2006-06-01,"Secondary Producer Price Index","Tech II construction components",0.971771,93341181679.1925,-0.000252
2006-07-01,"Consumer Price Index","Ammo",0.961209,270120751155.481,-0.000756
2006-07-01,"Consumer Price Index","Commodity",0.98619,1282541559032.48,-0.001278
2006-07-01,"Consumer Price Index","Drones",1.097019,163801019506.945,0.001146
2006-07-01,"Consumer Price Index","Faction Ships",1.195161,2160773809.4589,0.00003
2006-07-01,"Consumer Price Index","Ice Products",1.063684,357207662956.992,0.001641
2006-07-01,"Consumer Price Index","Implants",0.954845,1420546975686.85,-0.004629
2006-07-01,"Consumer Price Index","Insignias",1.003694,125759570961.745,0.000033
2006-07-01,"Consumer Price Index","Skills",1.00174,1415306139325.91,0.000177
2006-07-01,"Consumer Price Index","Starbase structures",0.9988,477888045395,-0.000041
2006-07-01,"Consumer Price Index","Tech I modules",1.008134,2020565542078.2,0.001186
2006-07-01,"Consumer Price Index","Tech I ships",0.996921,2883314288320.79,-0.00064
2006-07-01,"Consumer Price Index","Tech II modules",1.021404,1896003723680.27,0.002928
2006-07-01,"Consumer Price Index","Tech II ships",0.984404,1540682388020.98,-0.001734
2006-07-01,"Mineral Price Index","High-End Minerals",0.995694,2001232800027.43,-0.00239
2006-07-01,"Mineral Price Index","Low-End Minerals",1.04223,1604124671048.78,0.018789
2006-07-01,"Primary Producer Price Index","Advanced Moon Materials",1.00605,304020395841.47,0.000869
2006-07-01,"Primary Producer Price Index","Alloys & Compounds",1.076573,20349857267.6891,0.000736
2006-07-01,"Primary Producer Price Index","Commodity",1.104006,5924867226.8521,0.000291
2006-07-01,"Primary Producer Price Index","Decryptors",0.739259,324367048.7752,-0.000039
2006-07-01,"Primary Producer Price Index","Ice",1.055808,134879815731.554,0.003556
2006-07-01,"Primary Producer Price Index","Ore",1.02674,94669005286.1065,0.001196
2006-07-01,"Primary Producer Price Index","Planetary Processed Materials",1.005175,129775159222.067,0.000317
2006-07-01,"Primary Producer Price Index","Planetary Refined Commodities",1.003972,812774451073.95,0.001525
2006-07-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.015018,501153942697.251,0.003556
2006-07-01,"Primary Producer Price Index","Processed Moon Materials",1.007025,30454358244.2923,0.000101
2006-07-01,"Primary Producer Price Index","Raw Moon Materials",0.955977,79758449219.2945,-0.001659
2006-07-01,"Primary Producer Price Index","Reactions",1.003023,2233778304.4342,0.000003
2006-07-01,"Secondary Producer Price Index","Blueprints",1.003078,924045178100.031,0.000294
2006-07-01,"Secondary Producer Price Index","Capital Ship Components",1.00389,18129883631.7445,0.000007
2006-07-01,"Secondary Producer Price Index","Commodity",1.084553,6577606862186.81,0.057568
2006-07-01,"Secondary Producer Price Index","Planetary Commodities",1.001545,34104347595.0528,0.000005
2006-07-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.003586,1155760531241.14,0.000429
2006-07-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.996435,623586214498.499,-0.00023
2006-07-01,"Secondary Producer Price Index","Station components",1.001208,220876644637.432,0.000027
2006-07-01,"Secondary Producer Price Index","Tech II construction components",0.963351,106739650703.683,-0.000404
2006-08-01,"Consumer Price Index","Ammo",0.975568,309433668971.993,-0.000471
2006-08-01,"Consumer Price Index","Commodity",0.992573,1369166309962.72,-0.000633
2006-08-01,"Consumer Price Index","Drones",1.035739,114875137864.421,0.000255
2006-08-01,"Consumer Price Index","Faction Ships",0.996091,2361140309.7036,0
2006-08-01,"Consumer Price Index","Ice Products",0.947227,376035149050.804,-0.001237
2006-08-01,"Consumer Price Index","Implants",1.031924,1687044565805.36,0.003357
2006-08-01,"Consumer Price Index","Insignias",1.016884,137943953574.086,0.000145
2006-08-01,"Consumer Price Index","Skills",1.003464,1570392514815.12,0.000339
2006-08-01,"Consumer Price Index","Starbase structures",1.011617,571357980385.914,0.000413
2006-08-01,"Consumer Price Index","Tech I modules",1.006736,2377539764183.73,0.000998
2006-08-01,"Consumer Price Index","Tech I ships",1.016074,3247535669836.62,0.003254
2006-08-01,"Consumer Price Index","Tech II modules",1.081448,2466696630567.26,0.012525
2006-08-01,"Consumer Price Index","Tech II ships",0.996767,1809861069475.74,-0.000364
2006-08-01,"Mineral Price Index","High-End Minerals",1.000088,2105597126048.2,0.000048
2006-08-01,"Mineral Price Index","Low-End Minerals",1.050877,1753447278342.56,0.023117
2006-08-01,"Primary Producer Price Index","Advanced Moon Materials",0.942405,318884061836.438,-0.010036
2006-08-01,"Primary Producer Price Index","Alloys & Compounds",0.996033,19087027833.3803,-0.000041
2006-08-01,"Primary Producer Price Index","Commodity",1.036726,4960053482.4187,0.000099
2006-08-01,"Primary Producer Price Index","Decryptors",1.508509,347669936.2201,0.000096
2006-08-01,"Primary Producer Price Index","Ice",0.991258,114986949611.726,-0.000549
2006-08-01,"Primary Producer Price Index","Ore",1.067814,119430359812.38,0.004425
2006-08-01,"Primary Producer Price Index","Planetary Processed Materials",1.000134,92572699993.533,0.000006
2006-08-01,"Primary Producer Price Index","Planetary Refined Commodities",0.996607,585713785006.4,-0.001085
2006-08-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.999517,447990796692.109,-0.000118
2006-08-01,"Primary Producer Price Index","Processed Moon Materials",1.009979,35277772680.6316,0.000192
2006-08-01,"Primary Producer Price Index","Raw Moon Materials",1.024495,88690715832.9051,0.001187
2006-08-01,"Primary Producer Price Index","Reactions",1.014761,2050063361.0432,0.000016
2006-08-01,"Secondary Producer Price Index","Blueprints",0.998151,963926015114.98,-0.00025
2006-08-01,"Secondary Producer Price Index","Capital Ship Components",1.012402,27779889437.803,0.000048
2006-08-01,"Secondary Producer Price Index","Commodity",1.000614,4273362425332.04,0.000368
2006-08-01,"Secondary Producer Price Index","Planetary Commodities",0.996703,26106810300.3642,-0.000012
2006-08-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.001887,965049790025.634,0.000255
2006-08-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.998189,548139856000.384,-0.000139
2006-08-01,"Secondary Producer Price Index","Station components",0.998389,202528089766.647,-0.000045
2006-08-01,"Secondary Producer Price Index","Tech II construction components",0.999512,110677759248.119,-0.000007
2006-09-01,"Consumer Price Index","Ammo",0.990705,339803287189.851,-0.000184
2006-09-01,"Consumer Price Index","Commodity",0.993622,1492354263289.63,-0.000554
2006-09-01,"Consumer Price Index","Drones",1.066535,226581795150.443,0.000879
2006-09-01,"Consumer Price Index","Faction Ships",0.980945,2375162014.1819,-0.000002
2006-09-01,"Consumer Price Index","Ice Products",0.937745,405600462348.64,-0.001472
2006-09-01,"Consumer Price Index","Implants",0.838869,1506488889128.76,-0.014153
2006-09-01,"Consumer Price Index","Insignias",1.01728,165086199036.39,0.000166
2006-09-01,"Consumer Price Index","Skills",0.995203,1677893913154.08,-0.000469
2006-09-01,"Consumer Price Index","Starbase structures",1.00679,596934120681.093,0.000236
2006-09-01,"Consumer Price Index","Tech I modules",1.011188,2639437060704.08,0.001721
2006-09-01,"Consumer Price Index","Tech I ships",1.009585,3424206175044.96,0.001913
2006-09-01,"Consumer Price Index","Tech II modules",1.10474,2736583837981.32,0.016712
2006-09-01,"Consumer Price Index","Tech II ships",1.007076,1936770555186.43,0.000799
2006-09-01,"Mineral Price Index","High-End Minerals",1.00775,2241461427305.52,0.004129
2006-09-01,"Mineral Price Index","Low-End Minerals",1.022955,1964690074247.86,0.010722
2006-09-01,"Primary Producer Price Index","Advanced Moon Materials",0.894306,291824475549.958,-0.017181
2006-09-01,"Primary Producer Price Index","Alloys & Compounds",1.042379,27790556421.6849,0.000656
2006-09-01,"Primary Producer Price Index","Commodity",0.980849,5960405420.7328,-0.000063
2006-09-01,"Primary Producer Price Index","Decryptors",0.937879,357386032.9243,-0.000012
2006-09-01,"Primary Producer Price Index","Ice",0.936113,114522028839.19,-0.004075
2006-09-01,"Primary Producer Price Index","Ore",1.050018,135334810738.791,0.00377
2006-09-01,"Primary Producer Price Index","Planetary Processed Materials",0.998029,84074502965.8682,-0.000092
2006-09-01,"Primary Producer Price Index","Planetary Refined Commodities",0.999351,544153789375.086,-0.000196
2006-09-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.000656,442005734330.891,0.000161
2006-09-01,"Primary Producer Price Index","Processed Moon Materials",0.96042,37363438760.558,-0.000823
2006-09-01,"Primary Producer Price Index","Raw Moon Materials",1.025374,109723707236.367,0.00155
2006-09-01,"Primary Producer Price Index","Reactions",0.985889,2086857556.2709,-0.000016
2006-09-01,"Secondary Producer Price Index","Blueprints",1.001055,1031447728486.33,0.000146
2006-09-01,"Secondary Producer Price Index","Capital Ship Components",1.023363,44775532584.6901,0.00014
2006-09-01,"Secondary Producer Price Index","Commodity",1.002117,4518085305251.21,0.001286
2006-09-01,"Secondary Producer Price Index","Planetary Commodities",1.006885,27618948497.4822,0.000025
2006-09-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.99992,991008950220.195,-0.00001
2006-09-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.999848,601964958650.976,-0.000012
2006-09-01,"Secondary Producer Price Index","Station components",0.999181,119914666987.342,-0.000013
2006-09-01,"Secondary Producer Price Index","Tech II construction components",0.853093,101239277442.157,-0.002
2006-10-01,"Consumer Price Index","Ammo",1.015735,340965090864.875,0.00031
2006-10-01,"Consumer Price Index","Commodity",1.005553,1417403421871.32,0.000455
2006-10-01,"Consumer Price Index","Drones",1.052735,236420115866.23,0.000722
2006-10-01,"Consumer Price Index","Faction Ships",0.994187,2723110959.6493,0
2006-10-01,"Consumer Price Index","Ice Products",0.912698,377729009567.324,-0.00191
2006-10-01,"Consumer Price Index","Implants",0.872307,1560740704488.89,-0.011544
2006-10-01,"Consumer Price Index","Insignias",1.002082,178409888396.099,0.000021
2006-10-01,"Consumer Price Index","Skills",1.004167,1673132644095.21,0.000403
2006-10-01,"Consumer Price Index","Starbase structures",1.01804,592341812623.737,0.000618
2006-10-01,"Consumer Price Index","Tech I modules",0.989248,2584445022341.56,-0.001609
2006-10-01,"Consumer Price Index","Tech I ships",1.005551,3410288309620.85,0.001096
2006-10-01,"Consumer Price Index","Tech II modules",1.076799,2886259148886.01,0.012839
2006-10-01,"Consumer Price Index","Tech II ships",1.025916,2002693482418.55,0.003006
2006-10-01,"Mineral Price Index","High-End Minerals",1.010957,2239112938928.57,0.005866
2006-10-01,"Mineral Price Index","Low-End Minerals",1.008222,1942816477733.24,0.003819
2006-10-01,"Primary Producer Price Index","Advanced Moon Materials",0.868924,245087429960.349,-0.024015
2006-10-01,"Primary Producer Price Index","Alloys & Compounds",1.00461,30061975262.4381,0.000103
2006-10-01,"Primary Producer Price Index","Commodity",0.974122,5504318349.4299,-0.000106
2006-10-01,"Primary Producer Price Index","Decryptors",1.361435,453909691.9363,0.000122
2006-10-01,"Primary Producer Price Index","Ice",0.84779,115977376141.673,-0.013196
2006-10-01,"Primary Producer Price Index","Ore",1.015253,149388330637.254,0.001703
2006-10-01,"Primary Producer Price Index","Planetary Processed Materials",1.001503,42378880916.0114,0.000047
2006-10-01,"Primary Producer Price Index","Planetary Refined Commodities",0.998567,338878151258.93,-0.000363
2006-10-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.00294,280629495328.057,0.000616
2006-10-01,"Primary Producer Price Index","Processed Moon Materials",0.955332,37038692514.1023,-0.001236
2006-10-01,"Primary Producer Price Index","Raw Moon Materials",0.918443,90474921846.0365,-0.005516
2006-10-01,"Primary Producer Price Index","Reactions",0.995872,1792689923.2313,-0.000005
2006-10-01,"Secondary Producer Price Index","Blueprints",1.000727,1200924477488.35,0.000136
2006-10-01,"Secondary Producer Price Index","Capital Ship Components",1.014985,40686439460.3258,0.000095
2006-10-01,"Secondary Producer Price Index","Commodity",1.002466,3563886349711.58,0.001376
2006-10-01,"Secondary Producer Price Index","Planetary Commodities",1.000719,25419350515.7825,0.000002
2006-10-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.994822,740602381767.693,-0.0006
2006-10-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.001166,540324642934.695,0.000098
2006-10-01,"Secondary Producer Price Index","Station components",1.001302,179620919438.109,0.000036
2006-10-01,"Secondary Producer Price Index","Tech II construction components",0.914918,91885041417.3989,-0.001224
2006-11-01,"Consumer Price Index","Ammo",0.979721,395941624107.961,-0.000395
2006-11-01,"Consumer Price Index","Commodity",1.004717,1473309131049.81,0.000342
2006-11-01,"Consumer Price Index","Drones",1.058482,312597057906.703,0.0009
2006-11-01,"Consumer Price Index","Faction Ships",0.951935,4548188336.0376,-0.00001
2006-11-01,"Consumer Price Index","Ice Products",0.947029,487417546249.185,-0.001271
2006-11-01,"Consumer Price Index","Implants",0.928308,1989739625490.48,-0.007026
2006-11-01,"Consumer Price Index","Insignias",0.996352,229392769183.917,-0.000041
2006-11-01,"Consumer Price Index","Skills",0.998677,1917268917576.72,-0.000124
2006-11-01,"Consumer Price Index","Starbase structures",0.995336,679535331084.05,-0.000156
2006-11-01,"Consumer Price Index","Tech I modules",0.967005,3052075567512.51,-0.00496
2006-11-01,"Consumer Price Index","Tech I ships",0.998096,3903232476785.78,-0.000366
2006-11-01,"Consumer Price Index","Tech II modules",1.030598,3338283297082.85,0.005031
2006-11-01,"Consumer Price Index","Tech II ships",1.021217,2516900556658.95,0.00263
2006-11-01,"Mineral Price Index","High-End Minerals",1.004926,2637763128241.4,0.002641
2006-11-01,"Mineral Price Index","Low-End Minerals",1.00943,2281231783195.64,0.004373
2006-11-01,"Primary Producer Price Index","Advanced Moon Materials",0.92266,287847656972.097,-0.014434
2006-11-01,"Primary Producer Price Index","Alloys & Compounds",1.025469,37369027699.3166,0.000617
2006-11-01,"Primary Producer Price Index","Commodity",0.978829,7437243350.5843,-0.000102
2006-11-01,"Primary Producer Price Index","Decryptors",1.269133,3059421179.84,0.000533
2006-11-01,"Primary Producer Price Index","Ice",0.960964,158394164945.03,-0.004008
2006-11-01,"Primary Producer Price Index","Ore",0.940112,189655272562.94,-0.007364
2006-11-01,"Primary Producer Price Index","Planetary Processed Materials",0.9949,44996797667.4505,-0.000148
2006-11-01,"Primary Producer Price Index","Planetary Refined Commodities",0.997376,369631361951.067,-0.000628
2006-11-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.997396,316494165854.792,-0.000534
2006-11-01,"Primary Producer Price Index","Processed Moon Materials",0.863933,30038658826.9011,-0.00265
2006-11-01,"Primary Producer Price Index","Raw Moon Materials",0.872723,95459972921.1917,-0.007877
2006-11-01,"Primary Producer Price Index","Reactions",0.995635,1944921652.6876,-0.000005
2006-11-01,"Secondary Producer Price Index","Blueprints",1.00086,1316870449260.21,0.00015
2006-11-01,"Secondary Producer Price Index","Capital Ship Components",1.021661,42782341751.0138,0.000123
2006-11-01,"Secondary Producer Price Index","Commodity",1.00431,4417765130194.97,0.00253
2006-11-01,"Secondary Producer Price Index","Planetary Commodities",0.998149,29119285238.9766,-0.000007
2006-11-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.004147,827136319258.724,0.000455
2006-11-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.004722,608188254630.281,0.000381
2006-11-01,"Secondary Producer Price Index","Station components",0.998518,178794364900.002,-0.000035
2006-11-01,"Secondary Producer Price Index","Tech II construction components",0.927787,102481672233.344,-0.000983
2006-12-01,"Consumer Price Index","Ammo",1.018276,378928446084.715,0.000329
2006-12-01,"Consumer Price Index","Commodity",0.990866,2092485965001.77,-0.000909
2006-12-01,"Consumer Price Index","Drones",1.015809,152281782078.629,0.000114
2006-12-01,"Consumer Price Index","Ice Products",1.045032,501792591136.879,0.001075
2006-12-01,"Consumer Price Index","Implants",1.034519,2181570348240.37,0.003585
2006-12-01,"Consumer Price Index","Insignias",1.006715,234385448373.484,0.000074
2006-12-01,"Consumer Price Index","Skills",1.014208,1992599911266.88,0.001347
2006-12-01,"Consumer Price Index","Starbase structures",0.987936,663442594446.992,-0.000381
2006-12-01,"Consumer Price Index","Tech I modules",0.988213,2930683893311.47,-0.001644
2006-12-01,"Consumer Price Index","Tech I ships",1.013762,4348922777968.71,0.002849
2006-12-01,"Consumer Price Index","Tech II modules",1.011081,3458554204577.94,0.001824
2006-12-01,"Consumer Price Index","Tech II ships",0.911898,2068715718850.2,-0.008677
2006-12-01,"Mineral Price Index","High-End Minerals",0.950556,2817016558436.39,-0.026188
2006-12-01,"Mineral Price Index","Low-End Minerals",1.176191,2501450957674.28,0.082868
2006-12-01,"Primary Producer Price Index","Advanced Moon Materials",1.038181,281200077765.549,0.006864
2006-12-01,"Primary Producer Price Index","Alloys & Compounds",1.02211,39614914437.5282,0.000559
2006-12-01,"Primary Producer Price Index","Commodity",1.163133,9073395307.1337,0.000946
2006-12-01,"Primary Producer Price Index","Datacores",0.52941,2631486735.7706,-0.000791
2006-12-01,"Primary Producer Price Index","Decryptors",2.327887,11550822518.9295,0.009806
2006-12-01,"Primary Producer Price Index","Ice",0.88382,126851710601.432,-0.009422
2006-12-01,"Primary Producer Price Index","Ore",1.028863,189463471688.701,0.003496
2006-12-01,"Primary Producer Price Index","Planetary Processed Materials",1.0041,40768001659.112,0.000106
2006-12-01,"Primary Producer Price Index","Planetary Refined Commodities",1.002278,389822688174.021,0.000567
2006-12-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.994086,364989374267.205,-0.00138
2006-12-01,"Primary Producer Price Index","Processed Moon Materials",0.961377,28302303864.9893,-0.000698
2006-12-01,"Primary Producer Price Index","Raw Moon Materials",0.833337,77973965817.3115,-0.008308
2006-12-01,"Primary Producer Price Index","Reactions",1.005696,1882327800.4175,0.000006
2006-12-01,"Secondary Producer Price Index","Blueprints",0.953081,4310422560682.42,-0.019599
2006-12-01,"Secondary Producer Price Index","Capital Ship Components",1.030328,68845038835.2449,0.000202
2006-12-01,"Secondary Producer Price Index","Commodity",0.995594,4248326157620.52,-0.001813
2006-12-01,"Secondary Producer Price Index","Planetary Commodities",1.013809,27811875182.1652,0.000037
2006-12-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.003738,817983187437.577,0.000296
2006-12-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.003514,624284432566.217,0.000212
2006-12-01,"Secondary Producer Price Index","Salvaged materials",0.266113,52072155.6615,-0.000003
2006-12-01,"Secondary Producer Price Index","Station components",1.001592,104856985379.381,0.000016
2006-12-01,"Secondary Producer Price Index","Tech II construction components",1.095411,116130415138.415,0.001073
2007-01-01,"Consumer Price Index","Ammo",1.017658,494771083204.889,0.000323
2007-01-01,"Consumer Price Index","Boosters",0.419953,3619999.7776,0
2007-01-01,"Consumer Price Index","Commodity",0.999271,1867940545259.26,-0.00005
2007-01-01,"Consumer Price Index","Drones",1.051544,337083471019.491,0.000643
2007-01-01,"Consumer Price Index","Ice Products",1.087804,745636664367.067,0.002425
2007-01-01,"Consumer Price Index","Implants",0.963532,2308307827053.1,-0.003118
2007-01-01,"Consumer Price Index","Insignias",1.01301,235655146222.363,0.000113
2007-01-01,"Consumer Price Index","Skills",1.001948,2199041469099.63,0.000158
2007-01-01,"Consumer Price Index","Starbase structures",0.981884,981806762464.09,-0.000658
2007-01-01,"Consumer Price Index","Tech I modules",0.972161,3579023017606.89,-0.003691
2007-01-01,"Consumer Price Index","Tech I Rigs",0.571494,253940303113.252,-0.004031
2007-01-01,"Consumer Price Index","Tech I ships",0.95603,6964531660340.52,-0.011344
2007-01-01,"Consumer Price Index","Tech II modules",0.968266,4567715034291.99,-0.005369
2007-01-01,"Consumer Price Index","Tech II ships",0.961206,2458152659154.7,-0.003532
2007-01-01,"Mineral Price Index","High-End Minerals",0.831458,2953297872790.19,-0.081338
2007-01-01,"Mineral Price Index","Low-End Minerals",1.080687,3166267858656.69,0.041747
2007-01-01,"Primary Producer Price Index","Advanced Moon Materials",0.934912,331978152000.957,-0.012237
2007-01-01,"Primary Producer Price Index","Alloys & Compounds",0.679318,50893876426.1961,-0.009243
2007-01-01,"Primary Producer Price Index","Commodity",1.258429,7057258086.1527,0.001032
2007-01-01,"Primary Producer Price Index","Datacores",1.494473,52278435002.5566,0.01464
2007-01-01,"Primary Producer Price Index","Decryptors",1.644045,4913547644.2899,0.001792
2007-01-01,"Primary Producer Price Index","Ice",1.324647,165821877206.695,0.030488
2007-01-01,"Primary Producer Price Index","Ore",1.059527,205149643675.628,0.006916
2007-01-01,"Primary Producer Price Index","Planetary Processed Materials",1.001762,42339356871.5384,0.000042
2007-01-01,"Primary Producer Price Index","Planetary Refined Commodities",1.001076,417629123137.263,0.000254
2007-01-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.0008,379873296097.924,0.000172
2007-01-01,"Primary Producer Price Index","Processed Moon Materials",0.978521,34522767375.1315,-0.000419
2007-01-01,"Primary Producer Price Index","Raw Moon Materials",0.852313,71189561694.5744,-0.005954
2007-01-01,"Primary Producer Price Index","Reactions",0.999295,2077480364.5295,0
2007-01-01,"Secondary Producer Price Index","Blueprints",0.986577,2092813293065.47,-0.003235
2007-01-01,"Secondary Producer Price Index","Capital Ship Components",1.027477,49322529914.9303,0.000156
2007-01-01,"Secondary Producer Price Index","Commodity",0.993025,4277183333441.58,-0.003436
2007-01-01,"Secondary Producer Price Index","Planetary Commodities",1.003716,29007012988.044,0.000012
2007-01-01,"Secondary Producer Price Index","Planetary Refined Commodities",1.002102,884336759773.669,0.000214
2007-01-01,"Secondary Producer Price Index","Planetary Specialized Commodities",0.99727,643955003586.484,-0.000202
2007-01-01,"Secondary Producer Price Index","Salvaged materials",0.690416,403750833072.059,-0.014397
2007-01-01,"Secondary Producer Price Index","Station components",0.997685,155227184124.105,-0.000041
2007-01-01,"Secondary Producer Price Index","Tech II construction components",0.920059,146242129442.225,-0.001346
2007-02-01,"Consumer Price Index","Ammo",1.003007,496165284998.512,0.000053
2007-02-01,"Consumer Price Index","Boosters",1.493719,175631578.3128,0.000003
2007-02-01,"Consumer Price Index","Commodity",1.003451,1844841783983.88,0.000226
2007-02-01,"Consumer Price Index","Drones",0.949486,384030774713.394,-0.000689
2007-02-01,"Consumer Price Index","Ice Products",1.115574,839616305775.285,0.003451
2007-02-01,"Consumer Price Index","Implants",0.94694,2487106170075.26,-0.004693
2007-02-01,"Consumer Price Index","Insignias",1.011885,279848891609.012,0.000118
2007-02-01,"Consumer Price Index","Skills",1.027212,2458080662052.95,0.002378
2007-02-01,"Consumer Price Index","Starbase structures",0.999955,1064689588127.9,-0.000001
2007-02-01,"Consumer Price Index","Tech I modules",0.990904,3751911614270.75,-0.001213
2007-02-01,"Consumer Price Index","Tech I Rigs",0.715034,852572811823.492,-0.00864
2007-02-01,"Consumer Price Index","Tech I ships",0.947872,6278702786228.06,-0.01164
2007-02-01,"Consumer Price Index","Tech II modules",0.912337,4679317224016.94,-0.014588
2007-02-01,"Consumer Price Index","Tech II Rigs",0.79475,794750000,-0.000005
2007-02-01,"Consumer Price Index","Tech II ships",1.007165,2700359056657.46,0.000688
2007-02-01,"Mineral Price Index","High-End Minerals",0.868255,2759340850119.21,-0.056626
2007-02-01,"Mineral Price Index","Low-End Minerals",1.026808,3660425209272.21,0.015285
2007-02-01,"Primary Producer Price Index","Advanced Moon Materials",0.923814,285720951836.885,-0.011927
2007-02-01,"Primary Producer Price Index","Alloys & Compounds",0.91138,91157576683.3653,-0.004426
2007-02-01,"Primary Producer Price Index","Commodity",1.137247,7861991857.9932,0.000591
2007-02-01,"Primary Producer Price Index","Datacores",1.137823,174619045783.291,0.013187
2007-02-01,"Primary Producer Price Index","Decryptors",1.54631,22262657149.8673,0.006664
2007-02-01,"Primary Producer Price Index","Ice",1.216752,129400270319.478,0.015368
2007-02-01,"Primary Producer Price Index","Ore",0.986576,189758607917.291,-0.001395
2007-02-01,"Primary Producer Price Index","Planetary Processed Materials",1.000025,41845962178.1715,0
2007-02-01,"Primary Producer Price Index","Planetary Refined Commodities",1.000187,407006380211.45,0.000041
2007-02-01,"Primary Producer Price Index","Planetary Specialized Commodities",0.998886,376474395036.753,-0.000229
